Name,Team,points
Babar Azam,"

PAK
",873
Virat Kohli,IND,857
Rohit Sharma,IND,825
Ross Taylor,NZ,801
Aaron Finch,AUS,791
Jonny Bairstow,ENG,775
David Warner,AUS,773
Shai Hope,WI,773
Francois du Plessis,SA,770
Kane Williamson,NZ,754
