Name,Team,points
Stafanie Taylor,"

WI
",766
Mithali Raj,IND,762
Lizelle Lee,SA,758
Alyssa Healy,AUS,756
Tammy Beaumont,ENG,754
Meg Lanning,AUS,723
Amy Satterthwaite,NZ,715
Natalie Sciver,ENG,706
Smriti Mandhana,IND,701
Laura Wolvaardt,SA,683
