Team,Match,Points
Australia,18,"2,955"
England,20,"2,370"
South Africa,24,"2,828"
India,23,"2,535"
New Zealand,21,"1,947"
West Indies,16,"1,406"
Pakistan,19,"1,358"
Bangladesh,5,306
Sri Lanka,11,519
Ireland,2,25
