Name,Team,points
Stafanie Taylor,"

WI
",435
Marizanne Kapp,SA,418
Ellyse Perry,AUS,418
Natalie Sciver,ENG,365
Deepti Sharma,IND,331
Jess Jonassen,AUS,307
Ashleigh Gardner,AUS,252
Dane van Niekerk,SA,243
Sophie Devine,NZ,242
Katherine Brunt,ENG,239
