Name,Team,points
Jess Jonassen,"

AUS
",808
Megan Schutt,AUS,762
Marizanne Kapp,SA,747
Shabnim Ismail,SA,717
Jhulan Goswami,IND,694
Sophie Ecclestone,ENG,668
Katherine Brunt,ENG,646
Ayabonga Khaka,SA,638
Poonam Yadav,IND,617
Ellyse Perry,AUS,616
