Name,Team,points
Shakib Al Hasan,"

BAN
",387
Mohammad Nabi,AFG,294
Chris Woakes,ENG,282
Rashid Khan,AFG,270
Mitchell Santner,NZ,268
Ben Stokes,ENG,266
Colin de Grandhomme,NZ,257
Imad Wasim,PAK,256
Ravindra Jadeja,IND,245
Sean Williams,ZIM,238
